name          ,type                ,strDefault ,attributes ,upgrades ,docOrder ,description
nBlooms       ,uint64              ,           ,           ,         ,         ,jim
bloomsSize    ,uint64              ,           ,           ,         ,         ,jim
nIndexes      ,uint64              ,           ,           ,         ,         ,jim
indexSize     ,uint64              ,           ,           ,         ,         ,jim
specification ,string              ,           ,           ,         ,         ,jim
version       ,string              ,           ,           ,         ,         ,jim
chain         ,string              ,           ,           ,         ,         ,jim
updater       ,updater.Updater     ,           ,           ,         ,         ,jim
items         ,[]types.ChunkRecord ,           ,           ,         ,         ,jim
nItems        ,uint64              ,           ,           ,         ,         ,jim
